license_id,legal_name,dba,license_type_raw,license_status,street_address_raw,city_raw,geoid,county_raw,website_raw,has_website,contact_email,contact_phone,issue_date,first_issue_date,price_capture_status
AMS1193,"GREEN ALIEN CANNABIS COMPANY, LLC",CANNABIS CURED RETAIL,Store,Active,28 Levesque Dr Ste 3,Eliot,2303122955,York,,false,bharnish@cannabiscured.com,+1 (207) 239-7669,21-JUL-25,21-JUL-22,not_attempted
AMS1194,"GREEN ALIEN CANNABIS COMPANY, LLC",CANNABIS CURED RETAIL,Store,Active,312 Mayville Rd Unit 4,Bethel,2301704825,Oxford,https://cannabiscured.com/,true,bharnish@cannabiscured.com,+1 (207) 239-7669,21-OCT-25,21-OCT-22,not_attempted
AMS1195,"COASTAL DREAMS, LLC",BROTHERS CANNABIS BATH,Store,Active,115 Leeman Hwy,Bath,2302303355,Sagadahoc,https://www.broscannabis.com/,true,jcanningjr2875@msn.com,+1 (207) 242-1819,16-AUG-25,16-AUG-22,not_attempted
AMS1229,PAUL'S BOUTIQUE NURSERY LLC,,Store,Active,8 Crimson Dr Unit 3,Windham,2300586025,Cumberland,https://paulsboutiquenursery.com/home,true,jgcohen@verrill-law.com,+1 (207) 253-4834,13-JUL-26,13-JUL-22,not_attempted
AMS124,"NORTHLAND BOTANICALS, LLC",,Store,Active,152 Main Street,Stratton,,Franklin,https://cannabiscured.com/stratton-rec,true,bharnish@cannabiscured.com,+1 (207) 239-7669,21-SEP-25,21-SEP-20,not_attempted
AMS1241,"GREEN ALIEN CANNABIS COMPANY, LLC",CANNABIS CURED RETAIL,Store,Active,228 Norridgewock Rd,Fairfield,2302524320,Somerset,https://cannabiscured.com/,true,bharnish@cannabiscured.com,+1 (207) 239-7669,31-AUG-25,31-AUG-22,not_attempted
AMS1243,COASTAL MAINE LLC,COLUMBIA RECREATIONAL MARIJUANA,Store,Active,265 Us-1,Columbia,2302913750,Washington,,false,info@devilsdeals.com,+1 (617) 529-4900,19-DEC-25,19-DEC-22,not_attempted
AMS1244,MEDGRO LLC,THE HEALING COMMUNITY MEDCO,Store,Active,739 Main Street,Lewiston,2300138740,Androscoggin,https://thcmedco.com/,true,jgcohen@verrill-law.com,+1 (207) 253-4834,15-FEB-26,15-FEB-23,not_attempted
AMS1246,"SINSEMILLA SOUTH, LLC",,Store,Active,35 Bridge St,Gardiner,2301127085,Kennebec,,false,malina.dumas@dentons.com,+1 (207) 835-4355,30-JUN-26,30-JUN-22,not_attempted
AMS1253,"GREAT FALLS GREENERY, LLC",HIGH ROLLERS LLC,Store,Active,532 Pigeon Hill Rd Bldg 2,Mechanic Falls,2300144585,Androscoggin,,false,tthayer06@gmail.com,+1 (207) 577-3280,17-MAY-26,17-MAY-23,not_attempted
AMS1264,"STONED LEPRECHAUN, LLC",,Store,Active,"188 Unit 2 , Us 1",Columbia,2302913750,Washington,,false,herkle2000@yahoo.com,+1 (443) 392-0070,13-DEC-25,13-DEC-22,not_attempted
AMS1266,ROOM 5 LLC,CLOUDS OF CANNABIS,Store,Active,35 North Rd,Detroit,2302517460,Somerset,https://www.cloudsofcannabis.com/,true,jameswnolan@yahoo.com,+1 (401) 500-0465,21-OCT-25,21-OCT-22,not_attempted
AMS1302,20 UNION ST AUBURN MAINE CH AU LLC,CANNABIS HAVEN AUBURN 20 UNION ST AU,Store,Active,20 Union St Unit C,Auburn,2300102060,Androscoggin,cannabishaven.com,true,brett@cannabishaven.com,+1 (603) 817-1588,12-JAN-26,12-JAN-23,not_attempted
AMS1303,"JJP CONSULTING, INC.",45 NORTH CANNABIS COMPANY,Store,Active,2742 Auburn Rd,Turner,2300177800,Androscoggin,,false,n901cm@gmail.com,+1 (207) 620-4499,23-SEP-25,23-SEP-22,not_attempted
AMS1307,"WATERVILLE ECC, LLC",,Store,Active,465 Kennedy Memorial Dr,Waterville,2301180740,Kennebec,,false,malina.dumas@dentons.com,+1 (207) 835-4355,08-SEP-25,08-SEP-23,not_attempted
AMS1315,GRAM'S PLACE LLC,GRAM'S FIVE AND DIME CANNABIS CO,Store,Active,36 Moosehead Trl Ste 1,Newport,2301949065,Penobscot,https://grams5.com/,true,jgcohen@verrill-law.com,+1 (207) 253-4834,24-MAR-26,24-MAR-23,not_attempted
AMS1317,POT OF GOLD LLC,POT OF GOLD,Store,Active,1104 Carl Broggi Hwy Unit A,Lebanon,2303138425,York,N/A,true,info@harvestgoddess.com,+1 (603) 321-4455,16-NOV-25,16-NOV-23,not_attempted
AMS1328,"GTC, LLC",CAMP CANNABIS,Store,Active,470 Auburn Rd,Turner,2300177800,Androscoggin,https://campcannabis.me/,true,kristina@portcitylegal.com,+1 (207) 210-6559,22-JUN-26,22-JUN-23,not_attempted
AMS1329,1150 CENTER ST AUBURN MAINE CH AU LLC,CANNABIS HAVEN AUBURN 1150 CENTER ST AU,Store,Active,1150 Center St Bldg 1 Unit B,Auburn,2300102060,Androscoggin,cannabishaven.com,true,brett@cannabishaven.com,+1 (603) 817-1588,07-NOV-25,07-NOV-22,not_attempted
AMS135,SEAWEED CO.,,Store,Active,185 Running Hill Road,South Portland,2300571990,Cumberland,https://seaweedmaine.com/,true,malina.dumas@dentons.com,+1 (207) 835-4355,14-SEP-25,14-SEP-20,not_attempted
AMS1356,"BROTHERS NEWPORT, LLC",,Store,Active,19 Moosehead Trl Ste 2b,Newport,2301949065,Penobscot,https://www.broscannabis.com/,true,greg@broscannabis.com,+1 (207) 852-0575,17-FEB-26,17-FEB-23,not_attempted
AMS1363,"HEATHWOOD COMPANY, LLC",KIND & CO,Store,Active,684 Forest Ave,Portland,2300560545,Cumberland,www.kindand.co,true,accounting@kindand.co,+1 (207) 329-3758,09-FEB-26,09-FEB-23,not_attempted
AMS1370,EAST COAST GOLD INC.,CHEECH & CHONG,Store,Active,268 Hammond St,Bangor,2301902795,Penobscot,www.ecgextracts.com,true,shimon.sfs@gmail.com,+1 (207) 659-6441,12-AUG-25,11-AUG-23,not_attempted
AMS1376,WARREN AVE AF LLC,ATLANTIC FARMS,Store,Active,210 New County Rd,Thomaston,2301376365,Knox,www.theatlanticfarms.com,true,jgcohen@verrill-law.com,+1 (207) 253-4834,01-MAY-26,01-MAY-23,not_attempted
AMS1382,"KTK NOYES, LLC",GRASS MONKEY,Store,Active,85 Western Ave,South Portland,2300571990,Cumberland,https://www.grassmonkeycc.com/,true,malina.dumas@dentons.com,+1 (207) 835-4355,10-JUL-26,10-JUL-23,not_attempted
AMS1387,JAR CO. CV LLC,JAR CANNABIS CO.,Store,Active,1221 Carrabassett Dr Unit B,Carrabassett Valley,2300710740,Franklin,www.jarcannabis.com,true,joel@jarcannabis.com,+1 (207) 333-8171,26-DEC-25,26-DEC-23,not_attempted
AMS1399,"GREEN ALIEN CANNABIS COMPANY, LLC",GADA CANNABIC CURED RETAIL,Store,Active,53a Chapman St,Damariscotta,2301516235,Lincoln,https://cannabiscured.com/dispensaries/damariscotta/,true,bharnish@cannabiscured.com,+1 (207) 239-7669,30-AUG-25,30-AUG-23,not_attempted
AMS1430,"SINSEMILLA SOUTH, LLC",,Store,Active,64 Washington Ave,Portland,2300560545,Cumberland,,false,malina.dumas@dentons.com,+1 (207) 835-4355,20-JUN-26,20-JUN-23,not_attempted
AMS1439,OG RETAIL LLC,OG CANNABIS,Store,Active,18 American Way,Eliot,2303122955,York,https://og207.com/,true,will@organicgoods207.com,+1 (848) 448-5072,14-MAR-26,14-MAR-24,not_attempted
AMS1444,"HIGHLY CANNACO RETAIL #4, LLC",,Store,Active,325 Bath Rd,Brunswick,2300508430,Cumberland,https://gethighly.com/,true,malina.dumas@dentons.com,+1 (207) 835-4355,13-DEC-25,13-DEC-23,not_attempted
AMS1445,"HIGHLY CANNACO RETAIL #5, LLC",,Store,Active,73 Main St,Woolwich,2302387460,Sagadahoc,,false,malina.dumas@dentons.com,+1 (207) 835-4355,12-APR-26,12-APR-24,not_attempted
AMS1456,RL2 LLC,FRIENDLY FIRE,Store,Active,72 Emery St Unit 105,Sanford,2303165725,York,https://captains-cannabis.com/,true,jgcohen@verrill-law.com,+1 (207) 253-4834,12-SEP-25,12-SEP-23,not_attempted
AMS1459,"CWORX & CO., LLC",CWORX & CO.,Store,Active,964 Auburn Rd,Turner,2300177800,Androscoggin,cworx.co,true,cworxandcompany@gmail.com,+1 (207) 577-5016,13-OCT-25,13-OCT-23,not_attempted
AMS1469,"RUGGED ROOTS, LLC",RUGGED ROOTS TRADING POST,Store,Active,225 First Flight Dr,Auburn,2300102060,Androscoggin,https://ruggedrootstradingpost.com/,true,malina.dumas@dentons.com,+1 (207) 835-4355,17-JUL-25,17-JUL-23,not_attempted
AMS1484,BLUE LOBSTER FARMS LLC,BLUE LOBSTER CANNABIS,Store,Active,200 Roosevelt Trl,Casco,2300511125,Cumberland,bluelobstercannabis.com,true,hayden@keyhavenholdings.com,+1 (207) 329-7805,20-NOV-25,20-NOV-23,not_attempted
AMS1486,HARBOR HARVEST LLC,,Store,Active,1048 Atlantic Hwy,Warren,2301380215,Knox,Harborharvestcc.com,true,dennis@harborharvestcc.com,+1 (908) 670-6653,31-JAN-26,31-JAN-24,not_attempted
AMS1489,"PINE TREE MAINE 2, LLC",LANDRACE CANNABIS CO.,Store,Active,325 Roosevelt Trl,Casco,2300511125,Cumberland,www.landracecanna.com,true,lindsay@landracecanna.com,+1 (207) 807-5641,14-JUN-26,14-JUN-24,not_attempted
AMS1495,"STONER & CO., LLC",,Store,Active,419 Hill St,Biddeford,2303104860,York,https://www.stonerandco.com/,true,rebecca@stonerandco.com,+1 (813) 486-2458,16-FEB-26,16-FEB-24,not_attempted
AMS1496,BAY CITIES LLC,WILSHIRE MADISON,Store,Active,8 Business Pkwy,Brunswick,2300508430,Cumberland,https://wilshire-madison.com/,true,malina.dumas@dentons.com,+1 (207) 835-4355,02-JUL-26,02-JUL-24,not_attempted
AMS1502,"FIRE ON THE MOUNTAIN, LLC",RECREATIONLAND,Store,Active,154 Mount Auburn Ave,Auburn,2300102060,Androscoggin,www.recreationland.com,true,chelsea@anagnost.com,+1 (603) 669-6194,22-DEC-25,22-DEC-23,not_attempted
AMS1507,MELO'S LLC,,Store,Active,1384 Carl Broggi Hwy Bldg B,Lebanon,2303138425,York,https://www.drmelos.com/,true,melosadultuse@gmail.com,+1 (603) 738-1415,03-DEC-25,03-DEC-24,not_attempted
AMS1508,341 MAIN ST WATERVILLE MAINE CH LLC,CANNABIS HAVEN WATERVILLE 341 MAIN ST,Store,Active,341 Main St,Waterville,2301180740,Kennebec,CANNABISHAVEN.COM,true,brett@cannabishaven.com,+1 (603) 817-1588,28-MAY-26,28-MAY-24,not_attempted
AMS1510,GRM SHOP SOPO LLC,,Store,Active,155 Maine Mall Rd,South Portland,2300571990,Cumberland,https://www.grm207.com/,true,hamilton.james55@gmail.com,+1 (207) 504-1211,01-NOV-25,01-NOV-23,not_attempted
AMS1516,"DIRIGO NATURALS, LLC",FOLIAGE ME,Store,Active,343 Gorham Rd,South Portland,2300571990,Cumberland,,false,foliage.lever@gmail.com,+1 (207) 712-6226,28-JUN-26,28-JUN-24,not_attempted
AMS1526,"HARVEST CC, LLC",HARVEST CANNABIS COMPANY,Store,Active,911 Lisbon St,Lewiston,2300138740,Androscoggin,,false,malina.dumas@dentons.com,+1 (207) 835-4355,18-SEP-25,18-SEP-24,not_attempted
AMS1530,FROSTED FIRE AU LLC,,Store,Active,230 Warren Ave,Portland,2300560545,Cumberland,,false,malina.dumas@dentons.com,+1 (207) 835-4355,30-MAY-26,30-MAY-24,not_attempted
AMS1538,LEBANON HOLDINGS COMPANY LLC,RUGGED ROOTS,Store,Active,1674 Carl Broggi Hwy,Lebanon,2303138425,York,1stedition.com,true,malina.dumas@dentons.com,+1 (207) 835-4355,03-APR-26,03-APR-24,not_attempted
AMS1542,ASTRO TERF LLC,,Store,Active,84 College Ave Unit 2,Waterville,2301180740,Kennebec,ASTROTERFCANNABIS.COM,true,astroterfrec@gmail.com,+1 (352) 638-3249,22-APR-26,22-APR-24,not_attempted
AMS1546,PINE TREE MAINE LLC,LANDRACE CANNABIS CO.,Store,Active,22 Smada Dr,Sanford,2303165725,York,www.landracecanna.com,true,lindsay@landracecanna.com,+1 (207) 807-5641,19-MAR-26,19-MAR-24,not_attempted
AMS155,THEORY WELLNESS OF MAINE LLC,THEORY WELLNESS,Store,Active,198 Maine Mall Rd # 1,South Portland,2300571990,Cumberland,,false,cpatterson@theorywellness.org,+1 (508) 317-7971,07-SEP-25,07-SEP-20,not_attempted
AMS1553,DAILY BUDS DISPENSARY LLC,,Store,Active,10 China Rd Unit 2,Winslow,2301186515,Kennebec,https://www.dailybudsmaine.com/,true,rlgrimes01@gmail.com,+1 (480) 766-0872,26-APR-26,26-APR-24,not_attempted
AMS1558,"VRRIC INVESTMENTS, L.L.C.",GREENLIFE GUILFORD,Store,Active,6 Hudson Ave,Guilford,2302130095,Piscataquis,,false,greenlifemaine@gmail.com,+1 (207) 965-5940,03-JUL-26,03-JUL-24,not_attempted
AMS1559,"SANDYS SEAGLASS PHARM, LLC",FLOWERS REFINED,Store,Active,7 Dana St,Portland,2300560545,Cumberland,unknown,true,jmcanespie18@gmail.com,+1 (207) 504-2194,29-OCT-25,29-OCT-24,not_attempted
AMS1562,"GREEN TRUCK FARMS 6, LLC",,Store,Active,27 Hancock Ln Bldg 1,Sanford,2303165725,York,,false,josh@greentruckfarm.com,+1 (207) 432-6000,01-MAR-26,01-MAR-24,not_attempted
AMS1585,"GTF KITTERY 8, LLC",,Store,Active,89 Route 236,Kittery,2303137270,York,greentruckfarm.com,true,josh@greentruckfarm.com,+1 (207) 432-6000,15-NOV-25,15-NOV-24,not_attempted
AMS1587,"RUGGED ROOTS, LLC",,Store,Active,1 Beaver Creek Farm Rd,Bridgton,2300507170,Cumberland,www.ruggedrootsinc.com,true,malina.dumas@dentons.com,+1 (207) 835-4355,22-JAN-26,22-JAN-25,not_attempted
AMS1588,"RUGGED ROOTS, LLC",,Store,Active,791 Kittyhawk Ave Ste 6,Auburn,2300102060,Androscoggin,https://ruggedrootsinc.com,true,malina.dumas@dentons.com,+1 (207) 835-4355,06-JAN-26,06-JAN-25,not_attempted
AMS1592,WARREN AVE AF LLC,ATLANTIC FARMS,Store,Active,640 Rockland Road,Somerville,2301569645,Lincoln,,false,jgcohen@verrill-law.com,+1 (207) 253-4834,26-AUG-25,26-AUG-24,not_attempted
AMS1596,"PINE TREE MAINE 2, LLC",LANDRACE CANNABIS CO,Store,Active,588 Elm St,Biddeford,2303104860,York,www.landracecanna.com,true,lindsay@landracecanna.com,+1 (207) 807-5641,11-OCT-25,11-OCT-24,not_attempted
AMS1610,"HIGHLY CANNACO RETAIL #6, LLC",,Store,Active,790 Sabattus St,Lewiston,2300138740,Androscoggin,https://gethighly.com,true,malina.dumas@dentons.com,+1 (207) 835-4355,07-OCT-25,07-OCT-24,not_attempted
AMS1621,JJG ENTERPRISE LLC,CHEECH & CHONG RETAIL,Store,Active,31 Main St,Milo,2302146020,Piscataquis,https://www.cheechandchongscannabis.com/,true,ecg207@yahoo.com,+1 (207) 659-6441,03-APR-26,03-APR-26,not_attempted
AMS1626,GREENE STREET HOLDINGS MAINE LLC,,Store,Active,1364 Congress St Unit 4,Portland,2300560545,Cumberland,www.dreamgreene.com,true,colby@dreamgreene.com,+1 (856) 383-3439,22-OCT-25,22-OCT-24,not_attempted
AMS1630,JAR CO. ELIOT 2 LLC,JAR CANNABIS CO.,Store,Active,15 Maclellen Dr,Eliot,2303122955,York,www.jarcannabis.com,true,joel@jarcannabis.com,+1 (207) 333-8171,10-SEP-25,10-SEP-24,not_attempted
AMS1631,140 PARK STREET LLC,FOLIAGE,Store,Active,140 Park St,Rockland,2301363590,Knox,www.jarcannabis.com,true,joel@jarcannabis.com,+1 (207) 333-8171,06-MAY-26,06-MAY-25,not_attempted
AMS1641,RIVER RISE INC,,Store,Active,159 Us Route 1,Bucksport,2300908815,Hancock,,false,closernorth@gmail.com,+1 (207) 902-2122,19-MAY-26,19-MAY-25,not_attempted
AMS1642,PINECONE RETAIL 4 LLC,JAR CANNABIS CO.,Store,Active,468 Portland St,Berwick,2303104720,York,www.jarcannabis.com,true,joel@jarcannabis.com,+1 (207) 333-8171,24-OCT-25,24-OCT-24,not_attempted
AMS1643,806 SABATTUS ST LEWISTON MAINE CH LLC,CANNABIS HAVEN,Store,Active,806 Sabattus St Ste 2,Lewiston,2300138740,Androscoggin,,false,brett@cannabishaven.com,+1 (603) 817-1588,23-OCT-25,23-OCT-24,not_attempted
AMS1644,VINTAGE CANNABIS LLC,,Store,Active,325 Water St,Gardiner,2301127085,Kennebec,https://www.vccmaine.com/,true,cparenteau.acn@gmail.com,+1 (207) 446-6303,04-OCT-25,04-OCT-24,not_attempted
AMS165,"HIGHBROW INDUSTRIES, LLC",,Store,Active,137 Leeman Highway,Bath,2302303355,Sagadahoc,https://www.highbrowmaine.com/,true,david@highbrowmaine.com,+1 (502) 415-4919,26-MAR-26,26-MAR-21,not_attempted
AMS1651,"HYRULE MANAGEMENT, LLC",,Store,Active,45 Wharf St,Portland,2300560545,Cumberland,https://www.highergrounds.me/,true,mark@highergrounds.me,+1 (207) 576-5591,28-AUG-25,28-AUG-24,not_attempted
AMS1657,"LIGHTHOUSE HOLDINGS 1, LLC",,Store,Active,685 Wilson St,Brewer,2301906925,Penobscot,,false,summersleight@gmail.com,+1 (208) 982-1094,17-APR-26,17-APR-25,not_attempted
AMS166,"HIGHBROW INDUSTRIES, LLC",,Store,Active,696 Main Street,Rockland,2301363590,Knox,https://www.highbrowmaine.com/,true,david@highbrowmaine.com,+1 (207) 577-6562,31-DEC-25,31-DEC-20,not_attempted
AMS1660,265 WESTERN AVE AUGUSTA MAINE CH LLC,CANNABIS HAVEN AUGUSTA 265 WESTERN AVE,Store,Active,265 Western Ave,Augusta,2301102100,Kennebec,,false,brett@cannabishaven.com,+1 (603) 817-1588,20-MAR-26,20-MAR-25,not_attempted
AMS1662,"BLOSSOM, LLC",,Store,Active,9 Renaissance Way Ste 3,Sanford,2303165725,York,https://stachemaine.com/,true,malina.dumas@dentons.com,+1 (207) 835-4355,06-NOV-25,06-NOV-24,not_attempted
AMS1664,"THEORY WELLNESS OF MAINE, LLC",,Store,Active,152 Western Ave Ste 7,Augusta,2301102100,Kennebec,https://theorywellness.org/,true,cpatterson@theorywellness.org,+1 (508) 317-7971,28-APR-26,28-APR-25,not_attempted
AMS1669,"FARMACOLOGY, LLC",,Store,Active,292 State St,Augusta,2301102100,Kennebec,https://www.highbrowmaine.com/order-augusta,true,david@highbrowmaine.com,+1 (207) 577-6562,29-APR-26,29-APR-25,not_attempted
AMS1671,AUGUSTA CANNABIS CO LLC,,Store,Active,393 Western Ave Ste 1,Augusta,2301102100,Kennebec,,false,augustacannabisco@gmail.com,+1 (207) 213-6231,18-NOV-25,18-NOV-24,not_attempted
AMS1672,"COASTAL ROOTS - OXFORD, LLC",,Store,Active,1258 Main St,Oxford,2301756310,Oxford,https://www.coastalroots.com/,true,malina.dumas@dentons.com,+1 (207) 835-4355,25-NOV-25,25-NOV-24,not_attempted
AMS1684,MYSTIQUE RETAIL LLC,,Store,Active,29 Western Ave,South Portland,2300571990,Cumberland,,false,malina.dumas@dentons.com,+1 (207) 835-4355,10-APR-26,10-APR-25,not_attempted
AMS1685,MYSTIQUE RETAIL LLC,,Store,Active,685 Congress St,Portland,2300560545,Cumberland,,false,malina.dumas@dentons.com,+1 (207) 835-4355,10-APR-26,10-APR-25,not_attempted
AMS1686,MYSTIQUE RETAIL LLC,,Store,Active,31 Main Ave,Gardiner,2301127085,Kennebec,,false,malina.dumas@dentons.com,+1 (207) 835-4355,10-APR-26,10-APR-25,not_attempted
AMS1687,MYSTIQUE RETAIL LLC,,Store,Active,221 Dirigo Dr,Brewer,2301906925,Penobscot,,false,malina.dumas@dentons.com,+1 (207) 835-4355,10-APR-26,10-APR-25,not_attempted
AMS1691,BROTHERS LINCOLN LLC,,Store,Active,222 W Broadway Unit 2,Lincoln,2301939475,Penobscot,,false,greg7314@aol.com,+1 (207) 852-0575,27-FEB-26,27-FEB-25,not_attempted
AMS1692,"WEST PARIS MERCANTILE, LLC",,Store,Active,253 Bethel Rd Unit A,West Paris,2301783890,Oxford,Westparismercantile.com,true,hendersonbrad50@yahoo.com,+1 (207) 400-5341,04-AUG-25,04-AUG-25,not_attempted
AMS1693,GRM SHOP FOREST LLC,,Store,Active,945 Forest Ave,Portland,2300560545,Cumberland,GRM207.COM,true,hamilton.james55@gmail.com,+1 (207) 504-1211,01-APR-26,01-APR-25,not_attempted
AMS1694,CBW LABS LLC,WHITE MOUNTAIN CRAFT CANNABIS,Store,Active,285 Main St,Fryeburg,2301726910,Oxford,WHITEMOUNTAINCRAFTCANNABIS.COM,true,dan@cbwlabs.com,+1 (603) 662-6354,22-MAY-26,22-MAY-25,not_attempted
AMS1699,JAR CO. CV LLC,JAR CANNABIS CO.,Store,Active,564 Bath Rd,Wiscasset,2301587075,Lincoln,WWW.JARCANNABIS.COM,true,joel@jarcannabis.com,+1 (207) 333-8171,12-JUN-26,12-JUN-25,not_attempted
AMS1706,"1217 CONGRESS STREET, LLC",THE FIRE STATION,Store,Active,1217 Congress St,Portland,2300560545,Cumberland,,false,malina.dumas@dentons.com,+1 (207) 835-4355,27-FEB-26,27-FEB-26,not_attempted
AMS1718,"COASTAL ROOTS - SOUTH PORTLAND, LLC",,Store,Active,27 Ocean St Ste 1,South Portland,2300571990,Cumberland,,false,malina.dumas@dentons.com,+1 (207) 835-4355,12-JUN-26,12-JUN-25,not_attempted
AMS1724,"THEORY WELLNESS OF MAINE, LLC",,Store,Active,569 Stillwater Ave Ste C,Bangor,2301902795,Penobscot,,false,cpatterson@theorywellness.org,+1 (508) 317-7971,07-MAY-26,07-MAY-25,not_attempted
AMS1726,"THEORY WELLNESS OF MAINE, LLC",,Store,Active,20 Industrial St,Waterville,2301180740,Kennebec,,false,cpatterson@theorywellness.org,+1 (508) 317-7971,18-SEP-25,18-SEP-25,not_attempted
AMS1727,"THEORY WELLNESS OF MAINE, LLC",,Store,Active,8 Dexter Ln Unit 8,Kittery,2303137270,York,,false,malina.dumas@dentons.com,+1 (207) 835-4355,30-SEP-25,30-SEP-25,not_attempted
AMS1739,WARREN AVE AF LLC,ATLANTIC FARMS,Store,Active,460 Warren Ave,Portland,2300560545,Cumberland,,false,jgcohen@verrill-law.com,+1 (207) 253-4834,20-OCT-25,20-OCT-25,not_attempted
AMS1742,"ORACLE INDUSTRIES, LLC",AURAZ,Store,Active,32 Brook Rd Bldg 1 Unit B,Eliot,2303122955,York,www.auraz.com,true,deloreycd@gmail.com,+1 (603) 781-6781,22-JAN-26,22-JAN-26,not_attempted
AMS1743,"CURALEAF MAINE ADULT USE, INC.",BRILLIANT BUDS BETHEL,Store,Active,602 West Bethel Rd,Bethel,2301704825,,www.curaleaf.com,true,licensing@curaleaf.com,+1 (207) 776-3813,25-FEB-26,25-FEB-26,not_attempted
AMS1744,THEORY WELLNESS OF MAINE 4 LLC,BEACH BOYS CANNABIS,Store,Active,11 Ocean Park Road,Old Orchard Beach,2303155085,York,N/A,true,brandonpollock@gmail.com,+1 (845) 661-4866,26-AUG-25,26-AUG-25,not_attempted
AMS1745,"CURALEAF MAINE ADULT USE, INC.",,Store,Active,829 Hogan Rd Unit 46,Bangor,2301902795,Penobscot,www.curaleaf.com,true,malina.dumas@dentons.com,+1 (207) 835-4355,15-JAN-26,15-JAN-26,not_attempted
AMS1748,1240 LISBON ST LEWISTON MAINE CH LLC,CANNABIS HAVEN LEWISTON 1240 LISBON ST,Store,Active,1240 Lisbon St,Lewiston,2300138740,Androscoggin,,false,brett@cannabishaven.com,+1 (603) 817-1588,18-NOV-25,18-NOV-25,not_attempted
AMS1755,"HIGHLY CANNACO RETAIL #8, LLC",,Store,Active,495 Harold L Dow Hwy Bldg 1,Eliot,2303122955,York,https://gethighly.com,true,malina.dumas@dentons.com,+1 (207) 835-4355,09-OCT-25,09-OCT-25,not_attempted
AMS1765,"HARVEST CC, LLC",HARVEST CANNABIS COMPANY,Store,Active,1027 Sabattus St,Lewiston,2300138740,Androscoggin,,false,malina.dumas@dentons.com,+1 (207) 835-4355,17-JUN-26,17-JUN-26,not_attempted
AMS1769,1236 CONGRESS ST PORTLAND MAINE CH LLC,CANNABIS HAVEN PORTLAND 1236 CONGRESS ST,Store,Active,1236 Congress St,Portland,2300560545,Cumberland,https://cannabishaven.com/,true,brett@cannabishaven.com,+1 (603) 817-1588,02-FEB-26,02-FEB-26,not_attempted
AMS1770,STACEY JAMES,PINE ISLAND REC,Store,Active,461 Old Rte 1,Baring Plt,,Washington,,false,staceylorrayne@gmail.com,+1 (207) 214-5877,19-MAY-26,19-MAY-26,not_attempted
AMS1771,ASTRO TERF LLC,,Store,Active,634 Main St Unit 2,Oxford,2301756310,Oxford,astroterfcannabis.com,true,dcyroob@gmail.com,+1 (352) 638-3249,02-JUL-26,02-JUL-26,not_attempted
AMS1774,OLD PORT DEVELOPMENT II LLC,FIRE ON FORE,Store,Active,363 Fore St,Portland,2300560545,Cumberland,,false,malina.dumas@dentons.com,+1 (207) 835-4355,12-AUG-25,12-AUG-25,not_attempted
