"LICENSE","LICENSE_TYPE","LICENSE_NAME","DBA","LICENSE_STATUS","LICENSE_CITY","WEBSITE","CONTACT_NAME","CONTACT_TYPE","CONTACT_CITY","CONTACT_DESCRIPTION"
"DSP213","Dispensary","SEASMOKE EXTRACTS, INC.","","Active","Auburn","","BAYSIDE BOTANICALS LLC","Owner","","Business Owner"
"DSP214","Dispensary","FELIX GARDEN, LLC","","Active","Oxford","","YAO HUAN CHEN","Officer","Etna","Owner/Officer"
"DSP214","Dispensary","FELIX GARDEN, LLC","","Active","Oxford","","YAO HUAN CHEN","Owner","","Individual Owner"
"DSP214","Dispensary","FELIX GARDEN, LLC","","Active","Oxford","","YAO HUAN CHEN","Officer","Etna","Owner/Officer"
"DSP214","Dispensary","FELIX GARDEN, LLC","","Active","Oxford","","YAO HUAN CHEN","Owner","","Individual Owner"
"DSP215","Dispensary","BEARDED DELIGHT, LLC","","Active","Auburn","","GLENN ROGER THERIAULT","Officer","Turner","Member"
"DSP215","Dispensary","BEARDED DELIGHT, LLC","","Active","Auburn","","CHRISTOPHER DANIEL LEMIEUX","Officer","Auburn","Member"
"DSP215","Dispensary","BEARDED DELIGHT, LLC","","Active","Auburn","","GLENN THERIAULT","Owner","","Individual Owner"
"DSP215","Dispensary","BEARDED DELIGHT, LLC","","Active","Auburn","","CHRISTOPHER LEMIEUX","Owner","","Individual Owner"
"DSP174","Dispensary","F. BERENYI ENTERPRISES LLC","MARIJUANAVILLE","Active","Gardiner","https://marijuanaville.us/","FRANK G BERENYI","Officer","Waterville","President"
"DSP174","Dispensary","F. BERENYI ENTERPRISES LLC","MARIJUANAVILLE","Active","Gardiner","https://marijuanaville.us/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP194","Dispensary","BERENYI ENTERPRISES, LLC","MARIJUANAVILLE","Active","Wilton","","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP194","Dispensary","BERENYI ENTERPRISES, LLC","MARIJUANAVILLE","Active","Wilton","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP201","Dispensary","F.G. BERENYI, LLC","MARIJUANAVILLE","Active","Bangor","","FRANK G BERENYI","Officer","Waterville","Ceo"
"DSP201","Dispensary","F.G. BERENYI, LLC","MARIJUANAVILLE","Active","Bangor","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP202","Dispensary","K BERENYI LLC","MARIJUANAVILLE","Active","Alfred","https://marijuanaville.us/index.html","FRANK G BERENYI","Officer","Waterville","Ceo"
"DSP202","Dispensary","K BERENYI LLC","MARIJUANAVILLE","Active","Alfred","https://marijuanaville.us/index.html","FRANK G BERENYI","Owner","","Individual Owner"
"DSP216","Dispensary","HGC LLC","MARIJUANAVILLE","Active","Winslow","","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP216","Dispensary","HGC LLC","MARIJUANAVILLE","Active","Winslow","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP219","Dispensary","D BERENYI, LLC","MARIJUANAVILLE","Active","Augusta","https://marijuanaville.us/index.html","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP219","Dispensary","D BERENYI, LLC","MARIJUANAVILLE","Active","Augusta","https://marijuanaville.us/index.html","FRANK G BERENYI","Owner","","Individual Owner"
"DSP223","Dispensary","MV UNITY LLC","MARIJUANAVILLE","Active","Unity","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP223","Dispensary","MV UNITY LLC","MARIJUANAVILLE","Active","Unity","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP225","Dispensary","THE BERENYI GROUP LLC","MARIJUANAVILLE","Active","Newport","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP225","Dispensary","THE BERENYI GROUP LLC","MARIJUANAVILLE","Active","Newport","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP234","Dispensary","MV LEWISTON, LLC","MARIJUANAVILLE","Active","Lewiston","","FRANK G BERENYI","Officer","Waterville",""
"DSP237","Dispensary","ORLAND MVILLE, LLC","MARIJUANAVILLE","Active","Orland","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP244","Dispensary","MV LISBON STREET 2, LLC","MARIJUANAVILLE","Active","Lewiston","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP174","Dispensary","F. BERENYI ENTERPRISES LLC","MARIJUANAVILLE","Active","Gardiner","https://marijuanaville.us/","FRANK G BERENYI","Officer","Waterville","President"
"DSP174","Dispensary","F. BERENYI ENTERPRISES LLC","MARIJUANAVILLE","Active","Gardiner","https://marijuanaville.us/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP194","Dispensary","BERENYI ENTERPRISES, LLC","MARIJUANAVILLE","Active","Wilton","","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP194","Dispensary","BERENYI ENTERPRISES, LLC","MARIJUANAVILLE","Active","Wilton","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP201","Dispensary","F.G. BERENYI, LLC","MARIJUANAVILLE","Active","Bangor","","FRANK G BERENYI","Officer","Waterville","Ceo"
"DSP201","Dispensary","F.G. BERENYI, LLC","MARIJUANAVILLE","Active","Bangor","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP202","Dispensary","K BERENYI LLC","MARIJUANAVILLE","Active","Alfred","https://marijuanaville.us/index.html","FRANK G BERENYI","Officer","Waterville","Ceo"
"DSP202","Dispensary","K BERENYI LLC","MARIJUANAVILLE","Active","Alfred","https://marijuanaville.us/index.html","FRANK G BERENYI","Owner","","Individual Owner"
"DSP216","Dispensary","HGC LLC","MARIJUANAVILLE","Active","Winslow","","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP216","Dispensary","HGC LLC","MARIJUANAVILLE","Active","Winslow","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP219","Dispensary","D BERENYI, LLC","MARIJUANAVILLE","Active","Augusta","https://marijuanaville.us/index.html","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP219","Dispensary","D BERENYI, LLC","MARIJUANAVILLE","Active","Augusta","https://marijuanaville.us/index.html","FRANK G BERENYI","Owner","","Individual Owner"
"DSP223","Dispensary","MV UNITY LLC","MARIJUANAVILLE","Active","Unity","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP223","Dispensary","MV UNITY LLC","MARIJUANAVILLE","Active","Unity","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP225","Dispensary","THE BERENYI GROUP LLC","MARIJUANAVILLE","Active","Newport","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP225","Dispensary","THE BERENYI GROUP LLC","MARIJUANAVILLE","Active","Newport","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP234","Dispensary","MV LEWISTON, LLC","MARIJUANAVILLE","Active","Lewiston","","FRANK G BERENYI","Officer","Waterville",""
"DSP237","Dispensary","ORLAND MVILLE, LLC","MARIJUANAVILLE","Active","Orland","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP244","Dispensary","MV LISBON STREET 2, LLC","MARIJUANAVILLE","Active","Lewiston","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP218","Dispensary","MAINELY STICKY BUDS LLC","","Active","Greene","mainelystickybuds.com","TIMOTHY R BOWE","Officer","Minot","Owner"
"DSP218","Dispensary","MAINELY STICKY BUDS LLC","","Active","Greene","mainelystickybuds.com","TIMOTHY BOWE","Owner","","Individual Owner"
"DSP174","Dispensary","F. BERENYI ENTERPRISES LLC","MARIJUANAVILLE","Active","Gardiner","https://marijuanaville.us/","FRANK G BERENYI","Officer","Waterville","President"
"DSP174","Dispensary","F. BERENYI ENTERPRISES LLC","MARIJUANAVILLE","Active","Gardiner","https://marijuanaville.us/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP194","Dispensary","BERENYI ENTERPRISES, LLC","MARIJUANAVILLE","Active","Wilton","","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP194","Dispensary","BERENYI ENTERPRISES, LLC","MARIJUANAVILLE","Active","Wilton","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP201","Dispensary","F.G. BERENYI, LLC","MARIJUANAVILLE","Active","Bangor","","FRANK G BERENYI","Officer","Waterville","Ceo"
"DSP201","Dispensary","F.G. BERENYI, LLC","MARIJUANAVILLE","Active","Bangor","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP202","Dispensary","K BERENYI LLC","MARIJUANAVILLE","Active","Alfred","https://marijuanaville.us/index.html","FRANK G BERENYI","Officer","Waterville","Ceo"
"DSP202","Dispensary","K BERENYI LLC","MARIJUANAVILLE","Active","Alfred","https://marijuanaville.us/index.html","FRANK G BERENYI","Owner","","Individual Owner"
"DSP216","Dispensary","HGC LLC","MARIJUANAVILLE","Active","Winslow","","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP216","Dispensary","HGC LLC","MARIJUANAVILLE","Active","Winslow","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP219","Dispensary","D BERENYI, LLC","MARIJUANAVILLE","Active","Augusta","https://marijuanaville.us/index.html","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP219","Dispensary","D BERENYI, LLC","MARIJUANAVILLE","Active","Augusta","https://marijuanaville.us/index.html","FRANK G BERENYI","Owner","","Individual Owner"
"DSP223","Dispensary","MV UNITY LLC","MARIJUANAVILLE","Active","Unity","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP223","Dispensary","MV UNITY LLC","MARIJUANAVILLE","Active","Unity","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP225","Dispensary","THE BERENYI GROUP LLC","MARIJUANAVILLE","Active","Newport","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP225","Dispensary","THE BERENYI GROUP LLC","MARIJUANAVILLE","Active","Newport","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP234","Dispensary","MV LEWISTON, LLC","MARIJUANAVILLE","Active","Lewiston","","FRANK G BERENYI","Officer","Waterville",""
"DSP237","Dispensary","ORLAND MVILLE, LLC","MARIJUANAVILLE","Active","Orland","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP244","Dispensary","MV LISBON STREET 2, LLC","MARIJUANAVILLE","Active","Lewiston","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP174","Dispensary","F. BERENYI ENTERPRISES LLC","MARIJUANAVILLE","Active","Gardiner","https://marijuanaville.us/","FRANK G BERENYI","Officer","Waterville","President"
"DSP174","Dispensary","F. BERENYI ENTERPRISES LLC","MARIJUANAVILLE","Active","Gardiner","https://marijuanaville.us/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP194","Dispensary","BERENYI ENTERPRISES, LLC","MARIJUANAVILLE","Active","Wilton","","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP194","Dispensary","BERENYI ENTERPRISES, LLC","MARIJUANAVILLE","Active","Wilton","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP201","Dispensary","F.G. BERENYI, LLC","MARIJUANAVILLE","Active","Bangor","","FRANK G BERENYI","Officer","Waterville","Ceo"
"DSP201","Dispensary","F.G. BERENYI, LLC","MARIJUANAVILLE","Active","Bangor","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP202","Dispensary","K BERENYI LLC","MARIJUANAVILLE","Active","Alfred","https://marijuanaville.us/index.html","FRANK G BERENYI","Officer","Waterville","Ceo"
"DSP202","Dispensary","K BERENYI LLC","MARIJUANAVILLE","Active","Alfred","https://marijuanaville.us/index.html","FRANK G BERENYI","Owner","","Individual Owner"
"DSP216","Dispensary","HGC LLC","MARIJUANAVILLE","Active","Winslow","","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP216","Dispensary","HGC LLC","MARIJUANAVILLE","Active","Winslow","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP219","Dispensary","D BERENYI, LLC","MARIJUANAVILLE","Active","Augusta","https://marijuanaville.us/index.html","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP219","Dispensary","D BERENYI, LLC","MARIJUANAVILLE","Active","Augusta","https://marijuanaville.us/index.html","FRANK G BERENYI","Owner","","Individual Owner"
"DSP223","Dispensary","MV UNITY LLC","MARIJUANAVILLE","Active","Unity","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP223","Dispensary","MV UNITY LLC","MARIJUANAVILLE","Active","Unity","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP225","Dispensary","THE BERENYI GROUP LLC","MARIJUANAVILLE","Active","Newport","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP225","Dispensary","THE BERENYI GROUP LLC","MARIJUANAVILLE","Active","Newport","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP234","Dispensary","MV LEWISTON, LLC","MARIJUANAVILLE","Active","Lewiston","","FRANK G BERENYI","Officer","Waterville",""
"DSP237","Dispensary","ORLAND MVILLE, LLC","MARIJUANAVILLE","Active","Orland","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP244","Dispensary","MV LISBON STREET 2, LLC","MARIJUANAVILLE","Active","Lewiston","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP220","Dispensary","COAST TO COAST SUPPLEMENTS LLC","FUMAR","Active","Farmington","","MERCEDES NICHOLE LAMPHERE","Officer","Strong","Owner"
"DSP220","Dispensary","COAST TO COAST SUPPLEMENTS LLC","FUMAR","Active","Farmington","","MERCEDES LAMPHERE","Owner","","Individual Owner"
"DSP221","Dispensary","ELLIPSE, LLC","ELLIPSE CANNABIS COMPANY","Active","Auburn","ellipsecannaco.com","COGAN THOMAS PETERSEN","Officer","Minot","Manager"
"DSP221","Dispensary","ELLIPSE, LLC","ELLIPSE CANNABIS COMPANY","Active","Auburn","ellipsecannaco.com","TYLER GENE OWENS","Officer","Gardena","Manager"
"DSP221","Dispensary","ELLIPSE, LLC","ELLIPSE CANNABIS COMPANY","Active","Auburn","ellipsecannaco.com","MATHEW PATRICK OWENS","Officer","Garden Grove","Manager"
"DSP221","Dispensary","ELLIPSE, LLC","ELLIPSE CANNABIS COMPANY","Active","Auburn","ellipsecannaco.com","TAPPED IN HOMESTEAD LLC","Owner","Mniot","Business Owner"
"DSP221","Dispensary","ELLIPSE, LLC","ELLIPSE CANNABIS COMPANY","Active","Auburn","ellipsecannaco.com","OCG PROPERTIES, LLC","Owner","Garden Grove","Business Owner"
"DSP222","Dispensary","THE STONED MOOSE, LLC","","Active","Bethel","www.thestonedmoose.com","JODI D EVERETT","Officer","Bethel","Manager"
"DSP222","Dispensary","THE STONED MOOSE, LLC","","Active","Bethel","www.thestonedmoose.com","RONALD SAVAGE","Owner","","Individual Owner"
"DSP222","Dispensary","THE STONED MOOSE, LLC","","Active","Bethel","www.thestonedmoose.com","DAVID BENHARRIS","Owner","","Individual Owner"
"DSP222","Dispensary","THE STONED MOOSE, LLC","","Active","Bethel","www.thestonedmoose.com","DAVID COCHRAN","Owner","","Individual Owner"
"DSP222","Dispensary","THE STONED MOOSE, LLC","","Active","Bethel","www.thestonedmoose.com","SAL MESSINA","Owner","","Individual Owner"
"DSP222","Dispensary","THE STONED MOOSE, LLC","","Active","Bethel","www.thestonedmoose.com","JESSICA MESSINA","Owner","","Individual Owner"
"DSP222","Dispensary","THE STONED MOOSE, LLC","","Active","Bethel","www.thestonedmoose.com","JEFFREY GILBERT","Owner","","Individual Owner"
"DSP222","Dispensary","THE STONED MOOSE, LLC","","Active","Bethel","www.thestonedmoose.com","CHESAPEAKE FUNDING GROUP","Owner","","Business Owner"
"DSP222","Dispensary","THE STONED MOOSE, LLC","","Active","Bethel","www.thestonedmoose.com","JODI EVERETT","Owner","","Individual Owner"
"DSP222","Dispensary","THE STONED MOOSE, LLC","","Active","Bethel","www.thestonedmoose.com","WILLIAM COCHRAN","Owner","","Individual Owner"
"DSP222","Dispensary","THE STONED MOOSE, LLC","","Active","Bethel","www.thestonedmoose.com","MARILYN COCHRAN","Owner","","Individual Owner"
"DSP174","Dispensary","F. BERENYI ENTERPRISES LLC","MARIJUANAVILLE","Active","Gardiner","https://marijuanaville.us/","FRANK G BERENYI","Officer","Waterville","President"
"DSP174","Dispensary","F. BERENYI ENTERPRISES LLC","MARIJUANAVILLE","Active","Gardiner","https://marijuanaville.us/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP194","Dispensary","BERENYI ENTERPRISES, LLC","MARIJUANAVILLE","Active","Wilton","","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP194","Dispensary","BERENYI ENTERPRISES, LLC","MARIJUANAVILLE","Active","Wilton","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP201","Dispensary","F.G. BERENYI, LLC","MARIJUANAVILLE","Active","Bangor","","FRANK G BERENYI","Officer","Waterville","Ceo"
"DSP201","Dispensary","F.G. BERENYI, LLC","MARIJUANAVILLE","Active","Bangor","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP202","Dispensary","K BERENYI LLC","MARIJUANAVILLE","Active","Alfred","https://marijuanaville.us/index.html","FRANK G BERENYI","Officer","Waterville","Ceo"
"DSP202","Dispensary","K BERENYI LLC","MARIJUANAVILLE","Active","Alfred","https://marijuanaville.us/index.html","FRANK G BERENYI","Owner","","Individual Owner"
"DSP216","Dispensary","HGC LLC","MARIJUANAVILLE","Active","Winslow","","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP216","Dispensary","HGC LLC","MARIJUANAVILLE","Active","Winslow","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP219","Dispensary","D BERENYI, LLC","MARIJUANAVILLE","Active","Augusta","https://marijuanaville.us/index.html","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP219","Dispensary","D BERENYI, LLC","MARIJUANAVILLE","Active","Augusta","https://marijuanaville.us/index.html","FRANK G BERENYI","Owner","","Individual Owner"
"DSP223","Dispensary","MV UNITY LLC","MARIJUANAVILLE","Active","Unity","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP223","Dispensary","MV UNITY LLC","MARIJUANAVILLE","Active","Unity","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP225","Dispensary","THE BERENYI GROUP LLC","MARIJUANAVILLE","Active","Newport","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP225","Dispensary","THE BERENYI GROUP LLC","MARIJUANAVILLE","Active","Newport","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP234","Dispensary","MV LEWISTON, LLC","MARIJUANAVILLE","Active","Lewiston","","FRANK G BERENYI","Officer","Waterville",""
"DSP237","Dispensary","ORLAND MVILLE, LLC","MARIJUANAVILLE","Active","Orland","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP244","Dispensary","MV LISBON STREET 2, LLC","MARIJUANAVILLE","Active","Lewiston","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP174","Dispensary","F. BERENYI ENTERPRISES LLC","MARIJUANAVILLE","Active","Gardiner","https://marijuanaville.us/","FRANK G BERENYI","Officer","Waterville","President"
"DSP174","Dispensary","F. BERENYI ENTERPRISES LLC","MARIJUANAVILLE","Active","Gardiner","https://marijuanaville.us/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP194","Dispensary","BERENYI ENTERPRISES, LLC","MARIJUANAVILLE","Active","Wilton","","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP194","Dispensary","BERENYI ENTERPRISES, LLC","MARIJUANAVILLE","Active","Wilton","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP201","Dispensary","F.G. BERENYI, LLC","MARIJUANAVILLE","Active","Bangor","","FRANK G BERENYI","Officer","Waterville","Ceo"
"DSP201","Dispensary","F.G. BERENYI, LLC","MARIJUANAVILLE","Active","Bangor","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP202","Dispensary","K BERENYI LLC","MARIJUANAVILLE","Active","Alfred","https://marijuanaville.us/index.html","FRANK G BERENYI","Officer","Waterville","Ceo"
"DSP202","Dispensary","K BERENYI LLC","MARIJUANAVILLE","Active","Alfred","https://marijuanaville.us/index.html","FRANK G BERENYI","Owner","","Individual Owner"
"DSP216","Dispensary","HGC LLC","MARIJUANAVILLE","Active","Winslow","","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP216","Dispensary","HGC LLC","MARIJUANAVILLE","Active","Winslow","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP219","Dispensary","D BERENYI, LLC","MARIJUANAVILLE","Active","Augusta","https://marijuanaville.us/index.html","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP219","Dispensary","D BERENYI, LLC","MARIJUANAVILLE","Active","Augusta","https://marijuanaville.us/index.html","FRANK G BERENYI","Owner","","Individual Owner"
"DSP223","Dispensary","MV UNITY LLC","MARIJUANAVILLE","Active","Unity","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP223","Dispensary","MV UNITY LLC","MARIJUANAVILLE","Active","Unity","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP225","Dispensary","THE BERENYI GROUP LLC","MARIJUANAVILLE","Active","Newport","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP225","Dispensary","THE BERENYI GROUP LLC","MARIJUANAVILLE","Active","Newport","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP234","Dispensary","MV LEWISTON, LLC","MARIJUANAVILLE","Active","Lewiston","","FRANK G BERENYI","Officer","Waterville",""
"DSP237","Dispensary","ORLAND MVILLE, LLC","MARIJUANAVILLE","Active","Orland","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP244","Dispensary","MV LISBON STREET 2, LLC","MARIJUANAVILLE","Active","Lewiston","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP224","Dispensary","MAINEGREEN MANAGEMENT LLC","","Active","Bangor","","KING MOON LIANG","Officer","Uncasville","Owner"
"DSP224","Dispensary","MAINEGREEN MANAGEMENT LLC","","Active","Bangor","","KING MOON LIANG","Owner","","Individual Owner"
"DSP224","Dispensary","MAINEGREEN MANAGEMENT LLC","","Active","Bangor","","KING MOON LIANG","Officer","Uncasville","Owner"
"DSP224","Dispensary","MAINEGREEN MANAGEMENT LLC","","Active","Bangor","","KING MOON LIANG","Owner","","Individual Owner"
"DSP174","Dispensary","F. BERENYI ENTERPRISES LLC","MARIJUANAVILLE","Active","Gardiner","https://marijuanaville.us/","FRANK G BERENYI","Officer","Waterville","President"
"DSP174","Dispensary","F. BERENYI ENTERPRISES LLC","MARIJUANAVILLE","Active","Gardiner","https://marijuanaville.us/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP194","Dispensary","BERENYI ENTERPRISES, LLC","MARIJUANAVILLE","Active","Wilton","","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP194","Dispensary","BERENYI ENTERPRISES, LLC","MARIJUANAVILLE","Active","Wilton","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP201","Dispensary","F.G. BERENYI, LLC","MARIJUANAVILLE","Active","Bangor","","FRANK G BERENYI","Officer","Waterville","Ceo"
"DSP201","Dispensary","F.G. BERENYI, LLC","MARIJUANAVILLE","Active","Bangor","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP202","Dispensary","K BERENYI LLC","MARIJUANAVILLE","Active","Alfred","https://marijuanaville.us/index.html","FRANK G BERENYI","Officer","Waterville","Ceo"
"DSP202","Dispensary","K BERENYI LLC","MARIJUANAVILLE","Active","Alfred","https://marijuanaville.us/index.html","FRANK G BERENYI","Owner","","Individual Owner"
"DSP216","Dispensary","HGC LLC","MARIJUANAVILLE","Active","Winslow","","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP216","Dispensary","HGC LLC","MARIJUANAVILLE","Active","Winslow","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP219","Dispensary","D BERENYI, LLC","MARIJUANAVILLE","Active","Augusta","https://marijuanaville.us/index.html","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP219","Dispensary","D BERENYI, LLC","MARIJUANAVILLE","Active","Augusta","https://marijuanaville.us/index.html","FRANK G BERENYI","Owner","","Individual Owner"
"DSP223","Dispensary","MV UNITY LLC","MARIJUANAVILLE","Active","Unity","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP223","Dispensary","MV UNITY LLC","MARIJUANAVILLE","Active","Unity","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP225","Dispensary","THE BERENYI GROUP LLC","MARIJUANAVILLE","Active","Newport","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP225","Dispensary","THE BERENYI GROUP LLC","MARIJUANAVILLE","Active","Newport","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP234","Dispensary","MV LEWISTON, LLC","MARIJUANAVILLE","Active","Lewiston","","FRANK G BERENYI","Officer","Waterville",""
"DSP237","Dispensary","ORLAND MVILLE, LLC","MARIJUANAVILLE","Active","Orland","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP244","Dispensary","MV LISBON STREET 2, LLC","MARIJUANAVILLE","Active","Lewiston","https://marijuanaville.marketingservices.dev/","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP174","Dispensary","F. BERENYI ENTERPRISES LLC","MARIJUANAVILLE","Active","Gardiner","https://marijuanaville.us/","FRANK G BERENYI","Officer","Waterville","President"
"DSP174","Dispensary","F. BERENYI ENTERPRISES LLC","MARIJUANAVILLE","Active","Gardiner","https://marijuanaville.us/","FRANK G BERENYI","Owner","","Individual Owner"
"DSP194","Dispensary","BERENYI ENTERPRISES, LLC","MARIJUANAVILLE","Active","Wilton","","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP194","Dispensary","BERENYI ENTERPRISES, LLC","MARIJUANAVILLE","Active","Wilton","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP201","Dispensary","F.G. BERENYI, LLC","MARIJUANAVILLE","Active","Bangor","","FRANK G BERENYI","Officer","Waterville","Ceo"
"DSP201","Dispensary","F.G. BERENYI, LLC","MARIJUANAVILLE","Active","Bangor","","FRANK G BERENYI","Owner","","Individual Owner"
"DSP202","Dispensary","K BERENYI LLC","MARIJUANAVILLE","Active","Alfred","https://marijuanaville.us/index.html","FRANK G BERENYI","Officer","Waterville","Ceo"
"DSP202","Dispensary","K BERENYI LLC","MARIJUANAVILLE","Active","Alfred","https://marijuanaville.us/index.html","FRANK G BERENYI","Owner","","Individual Owner"
"DSP216","Dispensary","HGC LLC","MARIJUANAVILLE","Active","Winslow","","FRANK G BERENYI","Officer","Waterville","Owner"
"DSP216","Dispensary","HGC LLC","MARIJUANAVILLE","Active","Winslow","","FRANK G BERENYI","Owner","","Individual Owner"
